latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
40.857711,-75.262748,015,032,7289,2044,2025-01-24,1546,L9,H,D
40.857981,-75.262749,015,032,7289,2043,2025-01-24,1546,L9,L,D
40.880024,-77.414445,015,032,1246,1869,2025-01-24,1546,L9,H,D
40.880294,-77.414454,015,032,1246,1868,2025-01-24,1546,L9,H,D
40.886295,-77.166856,015,032,1942,1864,2025-01-24,1546,L9,L,D
40.893745,-75.219086,015,032,7412,1911,2025-01-24,1546,L9,H,D
40.894016,-75.219087,015,032,7412,1910,2025-01-24,1546,L9,H,D
40.927949,-77.015724,015,032,2370,1720,2025-01-24,1546,L9,H,D
41.002394,-75.214451,015,032,7426,1509,2025-01-24,1546,L9,L,D
41.002395,-75.214094,015,032,7427,1509,2025-01-24,1546,L9,H,D
41.043206,-77.25587,015,032,1707,1277,2025-01-24,1546,L9,H,D
41.049933,-76.897723,015,032,2711,1276,2025-01-24,1546,L9,H,D
41.050203,-76.897731,015,032,2711,1275,2025-01-24,1546,L9,L,D
41.083673,-76.799052,015,032,2990,1157,2025-01-24,1546,L9,H,D
41.10492,-76.717106,015,032,3221,1083,2025-01-24,1546,L9,L,D
41.105191,-76.717113,015,032,3221,1082,2025-01-24,1546,L9,L,D
41.148797,-76.366472,015,032,4205,938,2025-01-24,1546,L9,H,D
41.149067,-76.366477,015,032,4205,937,2025-01-24,1546,L9,H,D
41.231925,-77.047587,015,032,2307,593,2025-01-24,1546,L9,H,D
33.95688,-78.062054,015,036,4157,6235,2025-01-24,1547,L9,L,D
33.957142,-78.061721,015,036,4158,6234,2025-01-24,1547,L9,L,D
33.95715,-78.062045,015,036,4157,6234,2025-01-24,1547,L9,H,D
33.957158,-78.062369,015,036,4156,6234,2025-01-24,1547,L9,H,D
33.957166,-78.062694,015,036,4155,6234,2025-01-24,1547,L9,H,D
33.957413,-78.061712,015,036,4158,6233,2025-01-24,1547,L9,H,D
33.95742,-78.062036,015,036,4157,6233,2025-01-24,1547,L9,H,D
33.957428,-78.06236,015,036,4156,6233,2025-01-24,1547,L9,H,D
33.957436,-78.062684,015,036,4155,6233,2025-01-24,1547,L9,H,D
33.957691,-78.062027,015,036,4157,6232,2025-01-24,1547,L9,H,D
33.957698,-78.062351,015,036,4156,6232,2025-01-24,1547,L9,H,D
33.959304,-78.061647,015,036,4158,6226,2025-01-24,1547,L9,L,D
33.959574,-78.061637,015,036,4158,6225,2025-01-24,1547,L9,L,D
33.959644,-78.064556,015,036,4149,6225,2025-01-24,1547,L9,H,D
33.960416,-78.062906,015,036,4154,6222,2025-01-24,1547,L9,H,D
33.960717,-78.064194,015,036,4150,6221,2025-01-24,1547,L9,H,D
33.960725,-78.064519,015,036,4149,6221,2025-01-24,1547,L9,H,D
33.960987,-78.064185,015,036,4150,6220,2025-01-24,1547,L9,H,D
33.960995,-78.064509,015,036,4149,6220,2025-01-24,1547,L9,H,D
33.968788,-78.360596,015,036,3236,6216,2025-01-24,1547,L9,L,D
33.968795,-78.36092,015,036,3235,6216,2025-01-24,1547,L9,H,D
33.971974,-78.21085,015,036,3697,6192,2025-01-24,1547,L9,H,D
33.971981,-78.211175,015,036,3696,6192,2025-01-24,1547,L9,H,D
33.971988,-78.211499,015,036,3695,6192,2025-01-24,1547,L9,H,D
33.972244,-78.210842,015,036,3697,6191,2025-01-24,1547,L9,H,D
33.972251,-78.211166,015,036,3696,6191,2025-01-24,1547,L9,H,D
33.972259,-78.21149,015,036,3695,6191,2025-01-24,1547,L9,H,D
34.768486,-77.540439,015,036,5662,3183,2025-01-24,1547,L9,L,D
34.768756,-77.540428,015,036,5662,3182,2025-01-24,1547,L9,H,D
34.768766,-77.540755,015,036,5661,3182,2025-01-24,1547,L9,L,D
35.329084,-78.977415,015,036,1235,1230,2025-01-24,1547,L9,M,D
35.329089,-78.977745,015,036,1234,1230,2025-01-24,1547,L9,H,D
35.329354,-78.977408,015,036,1235,1229,2025-01-24,1547,L9,M,D
35.32936,-78.977738,015,036,1234,1229,2025-01-24,1547,L9,H,D
35.393394,-78.856586,015,035,510,6257,2025-01-24,1547,L9,M,D
35.39353,-78.856576,015,036,1596,984,2025-01-24,1547,L9,H,D
35.393536,-78.856906,015,036,1595,984,2025-01-24,1547,L9,M,D
35.393653,-78.856929,015,035,509,6256,2025-01-24,1547,L9,M,D
35.393664,-78.856599,015,035,510,6256,2025-01-24,1547,L9,H,D
35.3938,-78.856569,015,036,1596,983,2025-01-24,1547,L9,H,D
35.393806,-78.856899,015,036,1595,983,2025-01-24,1547,L9,M,D
35.393934,-78.856612,015,035,510,6255,2025-01-24,1547,L9,M,D
35.406656,-78.88132,015,035,437,6205,2025-01-24,1547,L9,H,D
35.406678,-78.881333,015,036,1520,937,2025-01-24,1547,L9,H,D
35.406684,-78.881663,015,036,1519,937,2025-01-24,1547,L9,M,D
35.406916,-78.881663,015,035,436,6204,2025-01-24,1547,L9,H,D
35.406926,-78.881333,015,035,437,6204,2025-01-24,1547,L9,H,D
35.406948,-78.881326,015,036,1520,936,2025-01-24,1547,L9,H,D
35.406954,-78.881656,015,036,1519,936,2025-01-24,1547,L9,H,D
35.415264,-78.939913,015,036,1342,909,2025-01-24,1547,L9,H,D
35.415289,-78.940177,015,035,260,6166,2025-01-24,1547,L9,M,D
35.4153,-78.939848,015,035,261,6166,2025-01-24,1547,L9,H,D
35.517774,-78.646967,015,035,1162,5821,2025-01-24,1547,L9,M,D
35.517808,-78.646872,015,036,2220,510,2025-01-24,1547,L9,M,D
35.662094,-78.242103,015,035,2404,5330,2025-01-24,1547,L9,L,D
35.662103,-78.241772,015,035,2405,5330,2025-01-24,1547,L9,H,D
35.662365,-78.242114,015,035,2404,5329,2025-01-24,1547,L9,L,D
35.662373,-78.241783,015,035,2405,5329,2025-01-24,1547,L9,H,D
35.662644,-78.241794,015,035,2405,5328,2025-01-24,1547,L9,H,D
35.663157,-78.242808,015,035,2402,5326,2025-01-24,1547,L9,M,D
35.677032,-78.853643,015,035,560,5208,2025-01-24,1547,L9,L,D
35.695651,-78.913188,015,035,383,5132,2025-01-24,1547,L9,M,D
35.707311,-78.672163,015,035,1112,5117,2025-01-24,1547,L9,M,D
35.707571,-78.672506,015,035,1111,5116,2025-01-24,1547,L9,H,D
35.707581,-78.672175,015,035,1112,5116,2025-01-24,1547,L9,H,D
35.71399,-78.830566,015,035,635,5074,2025-01-24,1547,L9,M,D
